Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
keycloak_get_user_token,22107,580,818,888,915,979,255,16928,0.000%,.25586,0.70,0.11
whomi_service,1,1025,1025,1025,1025,1025,1025,1025,0.000%,.97561,3.07,1.57
Create_project,1,2649,2649,2649,2649,2649,2649,2649,0.000%,.37750,0.37,0.69
register model (tar upload),22116,3868,3779,4494,4760,5400,2479,120922,0.009%,.25597,11.66,49.03
list models,22115,821,788,1060,1260,1519,467,6051,0.000%,.25598,1.11,0.43
add-model-version,22115,3476,3389,4056,4332,4986,1022,120925,0.023%,.25597,23.08,49.08
explore-model,22113,774,724,979,1476,1755,296,7939,0.009%,.25600,23.08,0.48
feature_importance,22113,2557,2438,3622,3915,4317,265,13632,0.009%,.25599,0.35,0.49
version_list,22113,685,638,873,1019,1653,337,12053,0.009%,.25599,22.98,0.49
decision_tree,22113,2537,2428,3531,3823,4242,271,120186,0.014%,.25598,0.13,0.49
detailed_matrix,22113,2525,2414,3548,3849,4295,262,33154,0.009%,.25598,0.21,0.49
scatter_plot,22111,2559,2443,3599,3879,4342,277,120185,0.014%,.25598,9.05,0.49
confusion_matrix,22111,2499,2392,3482,3758,4185,292,120186,0.018%,.25598,0.12,0.49
compare_versions(fetch-keys),22109,2997,2886,4136,4452,4912,371,103737,0.000%,.25596,10.16,0.49
Export Model,22107,4152,4042,5297,5637,6364,424,120186,0.027%,.25595,51.09,0.50
delete-version,22106,665,623,816,1101,1304,299,120746,0.014%,.25600,0.12,0.52
resource,22106,351,315,377,420,862,261,120185,0.009%,.25600,0.92,0.48
Application,22106,326,311,370,406,540,258,9971,0.000%,.25600,0.21,0.48
register_application,22106,1938,1940,2298,2396,2615,1000,95895,0.005%,.25599,0.48,1.53
list applications,22106,812,781,1009,1114,1438,378,120745,0.009%,.25600,0.41,0.48
add-application-version,22106,1556,1553,1894,1995,2206,608,48437,0.005%,.25599,0.72,1.32
version_list_applications,22106,616,597,736,800,1186,379,120186,0.005%,.25599,0.63,0.49
explore-applications,22106,671,667,815,871,1116,287,2782,0.005%,.25599,0.73,0.48
delete-version-application,22106,628,620,758,812,1113,316,5599,0.005%,.25599,0.12,0.52
delete model,22106,729,720,867,921,1190,278,8905,0.009%,.25599,0.12,0.51
delete application,22106,725,717,862,918,1207,321,5448,0.005%,.25599,0.12,0.51
Delete Project,1,944,944,944,944,944,944,944,0.000%,1.05932,0.74,1.88
TOTAL,530625,1627,914,3591,4018,4927,255,120925,0.009%,6.14089,158.19,110.35
